date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:09:01	38219/38219	---M--	200	added ('OK')	text/html	date:Sun,%2004%20Dec%202022%2001:08:58%20GMT	http://mcard.itscard.co.kr/tomjinah	C:/My%20Web%20Sites/Copy/mcard.itscard.co.kr/tomjinah.html	(from )
20:09:02	26/26	---M--	200	added ('OK')	text/plain	etag:%2205aa17d1717d41:0%22	http://mcard.itscard.co.kr/robots.txt		(from )
20:09:02	1700/1700	---MC-	200	added ('OK')	text/css	date:Sun,%2004%20Dec%202022%2001:09:03%20GMT	http://fonts.googleapis.com/earlyaccess/kopubbatang.css	C:/My%20Web%20Sites/Copy/fonts.googleapis.com/earlyaccess/kopubbatang.css	(from http://mcard.itscard.co.kr/tomjinah)
20:09:02	617/617	---MC-	200	added ('OK')	text/css	date:Sun,%2004%20Dec%202022%2001:09:03%20GMT	http://fonts.googleapis.com/earlyaccess/nanummyeongjo.css	C:/My%20Web%20Sites/Copy/fonts.googleapis.com/earlyaccess/nanummyeongjo.css	(from http://mcard.itscard.co.kr/tomjinah)
20:09:03	1189/1189	---MC-	200	added ('OK')	text/css	date:Sun,%2004%20Dec%202022%2001:09:03%20GMT	http://fonts.googleapis.com/earlyaccess/notosanskr.css	C:/My%20Web%20Sites/Copy/fonts.googleapis.com/earlyaccess/notosanskr.css	(from http://mcard.itscard.co.kr/tomjinah)
20:09:04	596/596	---MC-	200	added ('OK')	text/css	date:Sun,%2004%20Dec%202022%2001:09:04%20GMT	http://fonts.googleapis.com/earlyaccess/nanumgothic.css	C:/My%20Web%20Sites/Copy/fonts.googleapis.com/earlyaccess/nanumgothic.css	(from http://mcard.itscard.co.kr/tomjinah)
20:09:04	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Dec%202022%2001:09:05%20GMT	http://developers.kakao.com/sdk/js/kakao.min.js	C:/My%20Web%20Sites/Copy/developers.kakao.com/sdk/js/kakao.min.5.delayed	(from http://mcard.itscard.co.kr/tomjinah)
20:09:06	113131/113131	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2016%20Oct%202022%2014:35:38%20GMT	https://t1.kakaocdn.net/kakao_js_sdk/v1/kakao.min.js	C:/My%20Web%20Sites/Copy/t1.kakaocdn.net/kakao_js_sdk/v1/kakao.min.js	(from http://mcard.itscard.co.kr/tomjinah)
20:09:08	2111/2111	---MCZ	200	added ('OK')	application/json	date:Sun,%2004%20Dec%202022%2001:09:08%20GMT	http://dapi.kakao.com/v2/maps/sdk.js?appkey=81acfc4a0b16da2dec79be4b734d08b8&libraries=services	C:/My%20Web%20Sites/Copy/dapi.kakao.com/v2/maps/sdke390.json	(from http://mcard.itscard.co.kr/tomjinah)
20:09:08	179468/179468	---M--	200	added ('OK')	image/jpeg	etag:%22db03b135716d097fae82fd751a5a7520%22	https://platform-cdn.redprinting.co.kr/Itscard/userdata/202211/c_th_28044604848.jpg?d=1640x1640&f=inside	C:/My%20Web%20Sites/Copy/platform-cdn.redprinting.co.kr/Itscard/userdata/202211/c_th_280446048487e90.jpg	(from http://mcard.itscard.co.kr/tomjinah)
20:09:09	167575/167575	---M--	200	added ('OK')	image/jpeg	etag:%222c7bd8860a85b5f646367b243a4a4b5b%22	https://platform-cdn.redprinting.co.kr/Itscard/userdata/202211/th_27125241508.jpg?d=1640x1640&f=inside	C:/My%20Web%20Sites/Copy/platform-cdn.redprinting.co.kr/Itscard/userdata/202211/th_271252415087e90.jpg	(from http://mcard.itscard.co.kr/tomjinah)
20:09:09	334505/334505	---M--	200	added ('OK')	image/jpeg	etag:%22af3965d0a50c6ea3034cdf9592f42c4e%22	https://platform-cdn.redprinting.co.kr/Itscard/userdata/202211/th_27122441288.jpg?d=1640x1640&f=inside	C:/My%20Web%20Sites/Copy/platform-cdn.redprinting.co.kr/Itscard/userdata/202211/th_271224412887e90.jpg	(from http://mcard.itscard.co.kr/tomjinah)
20:09:09	182347/182347	---M--	200	added ('OK')	image/jpeg	etag:%2211bbb8de64d956ba0249b18d6806a154%22	https://platform-cdn.redprinting.co.kr/Itscard/userdata/202211/th_27125343776.jpg?d=1640x1640&f=inside	C:/My%20Web%20Sites/Copy/platform-cdn.redprinting.co.kr/Itscard/userdata/202211/th_271253437767e90.jpg	(from http://mcard.itscard.co.kr/tomjinah)
20:09:09	183678/183678	---M--	200	added ('OK')	image/jpeg	etag:%22dce8d575f9897951e6d3a6eb85b81c8c%22	https://platform-cdn.redprinting.co.kr/Itscard/userdata/202211/th_27125359324.jpg?d=1640x1640&f=inside	C:/My%20Web%20Sites/Copy/platform-cdn.redprinting.co.kr/Itscard/userdata/202211/th_271253593247e90.jpg	(from http://mcard.itscard.co.kr/tomjinah)
